user_idx,item_idx,label
608,1108,1.0
225,1369,0.5
162,79,0.5
240,2487,0.5
972,1586,0.5
671,1796,0.5
223,1552,1.0
827,186,1.0
643,984,1.0
835,1586,1.0
49,188,0.5
719,570,0.5
609,735,0.5
594,33,1.0
728,292,1.0
393,1094,0.5
821,1600,1.0
34,782,1.0
404,497,0.5
652,60,0.5
741,1419,0.5
831,2284,0.5
121,2216,1.0
563,1247,0.5
757,964,0.5
504,289,1.0
610,1905,0.5
33,886,0.5
608,1247,1.0
950,743,0.5
910,1162,1.0
110,1415,1.0
37,2245,1.0
463,1138,1.0
447,2492,1.0
527,1336,0.5
1006,2482,1.0
305,989,0.5
981,1389,1.0
3,287,1.0
553,1294,1.0
129,2058,0.5
957,798,1.0
539,2316,1.0
526,1298,1.0
855,1468,1.0
39,2257,1.0
631,869,1.0
752,286,0.5
834,2672,0.5
246,1310,1.0
737,1549,0.5
434,1217,0.5
823,2323,0.5
796,2070,0.5
511,1143,1.0
169,1192,1.0
577,2782,0.5
575,2165,1.0
913,1165,1.0
162,1496,0.5
757,721,0.5
45,1402,1.0
387,617,0.5
367,1235,0.5
691,791,1.0
321,119,0.5
819,480,1.0
52,1556,1.0
336,367,0.5
988,141,0.5
70,1904,1.0
37,1894,0.5
528,2259,0.5
994,1192,1.0
595,1960,1.0
942,2426,1.0
886,2336,1.0
487,353,0.5
78,1314,0.5
150,1331,1.0
102,544,0.5
23,1206,1.0
756,1531,1.0
17,2454,0.5
41,1768,1.0
350,679,0.5
507,587,1.0
757,2141,0.5
337,2270,0.5
291,820,1.0
572,1468,0.5
626,1111,0.5
481,2287,0.5
754,1976,0.5
135,233,1.0
444,2333,0.5
422,1882,1.0
762,1021,0.5
740,143,1.0
197,2273,0.5
125,985,0.5
354,317,0.5
717,1129,0.5
311,371,1.0
645,2040,0.5
904,1987,1.0
648,442,0.5
431,2643,1.0
369,1252,0.5
354,2779,1.0
567,935,1.0
454,1718,0.5
808,1148,1.0
